first_name,last_name,position,team,timestamp,type
Donald,Sloan,"PG,SG",Triple Double No Ast,"Mon, 29 Feb 2016 02:12:08",add
Brandan,Wright,"PF,C",Triple Double No Ast,"Mon, 29 Feb 2016 02:12:08",drop
Markieff,Morris,"PF,C",Thailandia,"Sun, 28 Feb 2016 04:16:29",add
Josh,Richardson,"SG,SF",Thailandia,"Sun, 28 Feb 2016 04:16:29",drop
Josh,Richardson,"SG,SF",Thailandia,"Sun, 28 Feb 2016 00:51:46",add
Steven,Adams,C,Thailandia,"Sun, 28 Feb 2016 00:51:46",drop
Courtney,Lee,"SG,SF",Greendale CC,"Sat, 27 Feb 2016 22:29:31",add
Patty,Mills,PG,Greendale CC,"Sat, 27 Feb 2016 22:29:31",drop
Ed,Davis,"PF,C",Greendale CC,"Sat, 27 Feb 2016 12:45:17",add
Alex,Len,"PF,C",Greendale CC,"Sat, 27 Feb 2016 12:45:17",drop
Jared,Dudley,"SG,SF",Thailandia,"Sat, 27 Feb 2016 04:12:54",add
Bojan,Bogdanovic,"SG,SF",Thailandia,"Sat, 27 Feb 2016 04:12:54",drop
Jerami,Grant,"SF,PF",Valar Moredunkis,"Sat, 27 Feb 2016 03:29:49",add
Marcus,Morris,"SF,PF",Valar Moredunkis,"Sat, 27 Feb 2016 03:29:49",drop
Patrick,Beverley,"PG,SG",Thailandia,"Sat, 27 Feb 2016 01:29:50",add
Jon,Leuer,"PF,C",Thailandia,"Sat, 27 Feb 2016 01:29:50",drop
Tyson,Chandler,C,Adam Silver,"Fri, 26 Feb 2016 22:40:07",add
Bobby,Portis,"PF,C",Adam Silver,"Fri, 26 Feb 2016 22:40:07",drop
Bismack,Biyombo,C,D-League All-Stars,"Fri, 26 Feb 2016 00:49:21",add
Kyle,Anderson,SF,D-League All-Stars,"Fri, 26 Feb 2016 00:49:21",drop
Bojan,Bogdanovic,"SG,SF",Thailandia,"Thu, 25 Feb 2016 22:30:49",add
Brandon,Jennings,PG,Thailandia,"Thu, 25 Feb 2016 22:30:49",drop
Kyle,Anderson,SF,D-League All-Stars,"Thu, 25 Feb 2016 21:02:29",add
